"0","1","12(p0)","12(p1)","19(p0)","19(p1)","19(p2)","19(p3)","19(p4)","19(p5)","19(p6)","19(p7)","19(p8)","19(p9)","19(p10)","19(p11)","19(p12)","19(p13)","19(p14)","19(p15)","19(p16)","19(p17)","19(p18)","19(p19)","19(p20)","2","20(p0)","20(p1)","39","43","44","5(p0)","5(p1)","50","53(p0)","53(p1)","7","8","80","81","85","86","92","label(p0)","label(p1)"
-0.99702,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9849619999999999,1,-1,-1,-1,-1,-1,-1,-1,-0.9849619999999999,1,-1
-0.99655,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9875204582651391,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.987520158889389,-1,1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9847861329342811,-0.931034,-0.9755994088292808,-0.9924820000000001,1,-1
-0.987296,-0.9885443266688756,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9849619999999999,-1,1,-1,-1,-1,-1,-1,-1,-0.9849619999999999,1,-1
-0.8458220000000001,-0.9736371362418305,1,-1,0,0.8357108940373452,-0.2954684201426395,-0.22886885410853175,-0.18687063686046268,-0.15793451382644763,-0.13677530110804836,-0.12062447740929094,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-1,-0.998892,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.19303599999999999,-0.19262528516558375,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-0.9680510845930738,-0.988369,-1,-1,-1,-1,-1,1,-1
-0.9981180000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.977444,-1,1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-0.977444,1,-1
-0.9716119999999999,-0.9737932953679799,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9624060000000001,1,-1,-1,-1,-1,-1,-1,-1,-0.9624060000000001,1,-1
-0.895856,-0.9924683252234026,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.969924,1,-1,-1,-1,-1,-1,-1,-1,-0.969924,1,-1
-0.6361220000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9939238952536825,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9939235708129557,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9925925925925927,-0.931034,-0.9881193628142566,-0.9924820000000001,1,-1
0.20268200000000003,0.20329615878580265,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.65212,-0.6519413282134495,-1,1,0,0,0,0,0,0,0,0.964995819274328,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9898956628477904,-0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9898958297590621,1,-1,-1,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9876817558299039,-0.931034,-0.9802443216237068,-1,1,-1
-0.998902,-1,1,-1,0,0,0,0,0,0,0,0,0,0.975900072948533,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9924820000000001,-1,1,-1,-1,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.9148339999999999,-0.9147911722044765,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9936099162795312,-0.998892,-1,-1,-1,-1,-1,1,-1
-0.7634780000000001,-0.7633588626810721,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9808312520340113,-0.984492,-1,-1,-1,-1,-1,1,-1
-0.805042,-0.8049432371586647,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.9971760000000001,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-0.9849619999999999,1,-1
-0.41732400000000003,-0.4170259494424817,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9763707037643208,-0.8660254037844386,-0.5,-0.7931034482758621,-0.928571,-0.9885434937499874,-1,1,-1,1,-1,-0.9968057097374744,-0.995015,-0.7931034482758621,-0.9711934156378601,-0.931034,-0.9776002336268796,-1,1,-1
-0.7819860000000001,-0.7818757313702662,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9762070376432079,-0.8660254037844386,-0.5,-0.8620689655172414,-0.857143,-0.9762069598880992,1,-1,-1,1,-1,-0.9936099162795312,-0.998892,-0.8620689655172414,-0.9709938895124081,-0.862069,-0.9534798368558242,-1,1,-1
-0.5653840000000001,-0.5651629009961151,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-0.9936099162795312,-0.993908,-1,-1,-1,-1,-1,1,-1
